character,pinyin,gloss,gloss_source,gloss_agreement,our_render,lock_status,never_render_as,occurrences,chapter_count,chapters,first_chapter,last_chapter,per_1000,glossary_entry
子,zǐ,,none,,,,,9,7,"4,26,31,52,54,55,62",4,62,1.7,
已,yǐ,,apparatus-split,1/3,,,,9,6,"2,9,29,30,31,55",2,55,1.7,
殺,shā,in killing,apparatus,1/1,,,,9,3,"31,73,74",31,74,1.7,
焉,yān,here,apparatus,5/7,,,,9,7,"17,23,25,30,34,49,60",17,60,1.7,
甚,shèn,,apparatus-split,1/2,,,,9,5,"21,29,44,53,70",21,70,1.7,
病,bìng,,none,,,,,9,2,"44,71",44,71,1.7,
盈,yíng,,apparatus-split,1/4,,,,9,7,"2,4,9,15,22,39,45",2,45,1.7,
眾,zhòng,the crowd / the many,locked,,the crowd / the many,locked,the masses; the multitude; the people,9,6,"1,8,20,21,31,64",1,64,1.7,glossary/zhong-眾.md
美,měi,glorifying/beautifying,apparatus,1/1,,,,9,5,"2,31,62,80,81",2,81,1.7,
觀,guān,,apparatus-split,1/2,,,,9,4,"1,16,26,54",1,54,1.7,
餘,yú,leftover/surplus,apparatus,1/1,,,,9,6,"20,24,53,54,77,79",20,79,1.7,
仁,rén,humaneness,locked,,humaneness,locked,benevolence; charity; goodwill,8,5,"5,8,18,19,38",5,38,1.51,glossary/ren-仁.md
令,lìng,cause,apparatus,4/6,,,,8,4,"12,19,32,57",12,57,1.51,
先,xiān,,apparatus-split,1/2,,,,8,6,"4,7,25,62,66,67",4,67,1.51,
古,gǔ,ancient,apparatus,3/4,,,,8,7,"14,15,21,22,62,65,68",14,68,1.51,
和,hé,harmonious,apparatus,1/1,,,,8,7,"2,4,18,42,55,56,79",2,79,1.51,
固,gù,,none,,,,,8,5,"36,55,58,59,67",36,67,1.51,
始,shǐ,beginnings/origins,apparatus,1/1,,,,8,7,"1,2,14,32,38,52,64",1,64,1.51,
損,sǔn,,none,,,,,8,3,"42,48,77",42,77,1.51,
智,zhì,,apparatus-split,1/4,,,,8,6,"3,18,19,27,33,65",3,65,1.51,
樂,lè,glad/happy,apparatus,3/4,,,,8,5,"23,31,35,66,80",23,80,1.51,
樸,pǔ,uncarved wood / the uncarved,locked,,uncarved wood / the uncarved,locked,uncarved block; simplicity; purity,8,6,"15,19,28,32,37,57",15,57,1.51,glossary/pu-樸.md
畏,wèi,fear,apparatus,3/4,,,,8,6,"15,17,20,53,72,74",15,74,1.51,
皆,jiē,all,apparatus,3/3,,,,8,5,"2,17,20,49,67",2,67,1.51,
神,shén,,apparatus-split,1/2,,,,8,4,"6,29,39,60",6,60,1.51,
至,zhì,,none,,,,,8,6,"43,48,55,65,72,80",43,80,1.51,
輕,qīng,,apparatus-split,1/2,,,,8,4,"26,63,69,75",26,75,1.51,
中,zhōng,,none,,,,,7,4,"5,21,25,41",5,41,1.32,
作,zuò,,apparatus-split,1/2,,,,7,5,"2,16,37,55,63",2,63,1.32,
出,chū,emerge,apparatus,1/1,,,,7,6,"1,5,18,35,47,50",1,50,1.32,
功,gōng,,apparatus-split,2/5,,,,7,7,"2,9,17,22,24,34,77",2,77,1.32,
哉,zāi,alas,apparatus,3/3,,,,7,6,"20,21,22,53,54,57",20,57,1.32,
惡,è,,apparatus-split,2/4,,,,7,7,"2,8,20,24,31,42,73",2,73,1.32,
慈,cí,tenderness,locked,,tenderness,locked,compassion; mercy; maternal love; filial piety,7,3,"18,19,67",18,67,1.32,glossary/ci-慈.md
未,wèi,,apparatus-split,1/3,,,,7,3,"20,55,64",20,64,1.32,
正,zhèng,,none,,,,,7,5,"37,45,57,58,78",37,78,1.32,
母,mǔ,mother,locked,,mother,locked,the Source; the Origin; the Ground of Being,7,5,"1,20,25,52,59",1,59,1.32,glossary/mu-母.md
獨,dú,alone,apparatus,6/7,,,,7,2,"20,25",20,25,1.32,
百,bǎi,hundred,apparatus,2/2,,,,7,5,"5,17,19,49,66",5,66,1.32,
聞,wén,hearing,apparatus,1/1,,,,7,5,"14,35,41,50,80",14,80,1.32,
主,zhǔ,,apparatus-split,1/4,,,,6,5,"26,30,34,69,78",26,78,1.13,
君,jūn,master/ruler,apparatus,2/2,,,,6,3,"26,31,70",26,70,1.13,
希,xī,,apparatus-split,1/2,,,,6,6,"14,23,41,43,70,74",14,74,1.13,
恐,kǒng,,none,,,,,6,1,39,39,39,1.13,
抱,bào,,apparatus-split,1/3,,,,6,6,"10,19,22,42,54,64",10,64,1.13,
既,jì,,none,,,,,6,4,"32,35,52,81",32,81,1.13,
日,rì,day,apparatus,2/2,,,,6,5,"23,26,48,55,58",23,58,1.13,
果,guǒ,,apparatus-split,3/6,,,,6,1,30,30,30,1.13,
棄,qì,abandon,apparatus,2/3,,,,6,3,"19,27,62",19,62,1.13,
極,jí,extreme/limit,apparatus,1/1,,,,6,5,"16,28,58,59,68",16,68,1.13,
猶,yóu,,apparatus-split,1/2,,,,6,6,"5,15,32,63,73,77",5,77,1.13,
益,yì,,none,,,,,6,4,"42,43,48,55",42,55,1.13,
辱,rǔ,,apparatus-split,1/2,,,,6,4,"13,28,41,44",13,44,1.13,
重,Zhòng,Heavy/mass,apparatus,1/1,,,,6,4,"26,59,66,80",26,80,1.13,
雖,Suī,,apparatus-split,1/2,,,,6,5,"26,27,32,62,80",26,80,1.13,
且,qiě,long-lasting and,apparatus,1/1,,,,5,3,"7,41,67",7,67,0.94,
似,sì,seem,apparatus,1/1,,,,5,3,"4,20,67",4,67,0.94,
侯,Hóu,ruler (inside 侯王),covers,,ruler (inside 侯王),locked,,5,3,"32,37,39",32,39,0.94,glossary/wang-王.md
修,Xiū,,none,,,,,5,1,54,54,54,0.94,
傷,shāng,,none,,,,,5,2,"60,74",60,74,0.94,
兩,liǎng,,none,,,,,5,5,"1,60,61,65,73",1,73,0.94,
動,dòng,,apparatus-split,1/2,,,,5,5,"5,8,15,40,50",5,50,0.94,
厚,hòu,,none,,,,,5,5,"38,44,50,55,75",38,75,0.94,
厭,yàn,,none,,,,,5,3,"53,66,72",53,72,0.94,
士,shì,scholars/officers,apparatus,1/1,,,,5,3,"15,41,68",15,68,0.94,
安,ān,take the calm/at rest,apparatus,1/1,,,,5,5,"15,35,64,79,80",15,80,0.94,
害,hai,,none,,,,,5,5,"35,56,66,73,81",35,81,0.94,
家,jiā,family/nation,apparatus,1/1,,,,5,3,"18,54,57",18,57,0.94,
容,róng,,apparatus-split,1/4,,,,5,4,"15,16,21,50",15,50,0.94,
寡,guǎ,diminish,apparatus,1/1,,,,5,5,"19,39,42,63,80",19,80,0.94,
左,zuǒ,,apparatus-split,1/2,,,,5,3,"31,34,79",31,79,0.94,
式,shì,model/pattern,apparatus,3/3,,,,5,3,"22,28,65",22,65,0.94,
弗,fú,,none,,,,,5,1,2,2,2,0.94,
恃,shì,rely on — the heart putting its weight on something,locked,,rely on — the heart putting its weight on something,locked,presume; presuming; dependency,5,5,"2,10,34,51,77",2,77,0.94,glossary/shi-恃.md
愛,Ài,loving/cherishing,apparatus,1/1,,,,5,5,"10,13,27,44,72",10,72,0.94,
敗,bài,ruin,apparatus,1/1,,,,5,2,"29,64",29,64,0.94,
教,jiào,,none,,,,,5,3,"2,42,43",2,43,0.94,
根,gēn,root,apparatus,2/3,,,,5,4,"6,16,26,59",6,59,0.94,
止,zhǐ,stopping point,apparatus,1/1,,,,5,4,"20,32,35,44",20,44,0.94,
殆,dài,danger/exhaustion,apparatus,2/3,,,,5,5,"16,25,32,44,52",16,52,0.94,
法,fǎ,models/follows the law of,apparatus,3/4,,,,5,2,"25,57",25,57,0.94,
牝,pìn,female,apparatus,1/1,,,,5,3,"6,55,61",6,61,0.94,
禮,lǐ,,none,,,,,5,2,"31,38",31,38,0.94,
義,yì,righteousness,apparatus,2/2,,,,5,3,"18,19,38",18,38,0.94,
致,zhì,,apparatus-split,1/2,,,,5,4,"10,14,16,39",10,39,0.94,
虛,xū,empty,apparatus,1/1,,,,5,5,"3,5,16,22,53",3,53,0.94,
親,qīn,,apparatus-split,1/2,,,,5,5,"17,18,44,56,79",17,79,0.94,
象,xiàng,,apparatus-split,1/2,,,,5,5,"4,14,21,35,41",4,41,0.94,
貨,huò,goods/wealth,apparatus,1/1,,,,5,5,"3,12,44,53,64",3,64,0.94,
遠,yuǎn,,apparatus-split,1/2,,,,5,4,"25,47,65,80",25,80,0.94,
