character,pinyin,gloss,gloss_source,gloss_agreement,our_render,lock_status,never_render_as,occurrences,chapter_count,chapters,first_chapter,last_chapter,per_1000,glossary_entry
素,sù,plainness/raw silk,apparatus,1/1,,,,1,1,19,19,19,0.19,
累,lěi,,none,,,,,1,1,64,64,64,0.19,
網,wǎng,,none,,,,,1,1,73,73,73,0.19,
綵,cǎi,,none,,,,,1,1,53,53,53,0.19,
繟,Chǎn,,none,,,,,1,1,73,73,73,0.19,
纇,lèi,,none,,,,,1,1,41,41,41,0.19,
罪,zuì,,none,,,,,1,1,62,62,62,0.19,
置,zhì,,none,,,,,1,1,62,62,62,0.19,
羸,léi,weak/fragile,apparatus,1/1,,,,1,1,29,29,29,0.19,
耀,yào,,none,,,,,1,1,58,58,58,0.19,
聾,lóng,deaf,apparatus,1/1,,,,1,1,12,12,12,0.19,
肆,sì,,none,,,,,1,1,58,58,58,0.19,
育,yù,,none,,,,,1,1,51,51,51,0.19,
興,xīng,,none,,,,,1,1,36,36,36,0.19,
舉,jǔ,,none,,,,,1,1,77,77,77,0.19,
舟,zhōu,,none,,,,,1,1,80,80,80,0.19,
色,sè,colors,apparatus,1/1,,,,1,1,12,12,12,0.19,
草,cǎo,,none,,,,,1,1,76,76,76,0.19,
荊,jīng,,none,,,,,1,1,30,30,30,0.19,
荒,Huāng,Vast/wild,apparatus,1/1,,,,1,1,20,20,20,0.19,
莅,lì,,none,,,,,1,1,60,60,60,0.19,
蓋,Gài,,none,,,,,1,1,50,50,50,0.19,
蔽,bì,worn out/concealed,apparatus,1/1,,,,1,1,15,15,15,0.19,
蕪,wú,,none,,,,,1,1,53,53,53,0.19,
藏,cáng,,none,,,,,1,1,44,44,44,0.19,
號,háo,,none,,,,,1,1,55,55,55,0.19,
螫,shì,,none,,,,,1,1,55,55,55,0.19,
蟲,chóng,,none,,,,,1,1,55,55,55,0.19,
衛,wèi,,none,,,,,1,1,67,67,67,0.19,
衣,Yī,,none,,,,,1,1,34,34,34,0.19,
裂,liè,,none,,,,,1,1,39,39,39,0.19,
褐,hè,,none,,,,,1,1,70,70,70,0.19,
要,yào,crucial/essential,apparatus,1/1,,,,1,1,27,27,27,0.19,
覆,fù,,none,,,,,1,1,51,51,51,0.19,
覽,lǎn,mirror/vision,apparatus,1/1,,,,1,1,10,10,10,0.19,
角,jiǎo,,none,,,,,1,1,50,50,50,0.19,
計,jì,calculating/planning,apparatus,1/1,,,,1,1,27,27,27,0.19,
託,tuō,relied upon/entrusted,apparatus,1/1,,,,1,1,13,13,13,0.19,
訥,nè,,none,,,,,1,1,45,45,45,0.19,
詰,jié,,none,,,,,1,1,14,14,14,0.19,
誠,Chéng,Truly,apparatus,1/1,,,,1,1,22,22,22,0.19,
誰,shuí,,none,,,,,1,1,4,4,4,0.19,
諱,huì,,none,,,,,1,1,57,57,57,0.19,
諾,nuò,,none,,,,,1,1,63,63,63,0.19,
謫,zhé,blame,apparatus,1/1,,,,1,1,27,27,27,0.19,
譬,Pì,compare,apparatus,1/1,,,,1,1,32,32,32,0.19,
豈,Qǐ,How could it be,apparatus,1/1,,,,1,1,22,22,22,0.19,
豐,fēng,,none,,,,,1,1,54,54,54,0.19,
豫,Yù,Hesitant/careful,apparatus,1/1,,,,1,1,15,15,15,0.19,
貞,zhēn,,none,,,,,1,1,39,39,39,0.19,
負,fù,,none,,,,,1,1,42,42,42,0.19,
財,cái,,none,,,,,1,1,53,53,53,0.19,
貧,pín,,none,,,,,1,1,57,57,57,0.19,
責,zé,,none,,,,,1,1,79,79,79,0.19,
貸,dài,,none,,,,,1,1,41,41,41,0.19,
費,fèi,,none,,,,,1,1,44,44,44,0.19,
賓,bīn,submit/align themselves,apparatus,1/1,,,,1,1,32,32,32,0.19,
質,zhì,,none,,,,,1,1,41,41,41,0.19,
贅,zhuì,superfluous/tumor,apparatus,1/1,,,,1,1,24,24,24,0.19,
赤,chì,,none,,,,,1,1,55,55,55,0.19,
走,zǒu,,none,,,,,1,1,46,46,46,0.19,
超,chāo,,none,,,,,1,1,26,26,26,0.19,
跡,jì,,none,,,,,1,1,27,27,27,0.19,
跨,Kuà,Striding/taking long steps,apparatus,1/1,,,,1,1,24,24,24,0.19,
蹶,jué,,none,,,,,1,1,39,39,39,0.19,
車,chē,,none,,,,,1,1,11,11,11,0.19,
載,Zài,Carrying,apparatus,1/1,,,,1,1,10,10,10,0.19,
輔,fǔ,,none,,,,,1,1,64,64,64,0.19,
輜,zī,,none,,,,,1,1,26,26,26,0.19,
輟,chuò,,none,,,,,1,1,54,54,54,0.19,
輻,fú,spokes,apparatus,1/1,,,,1,1,11,11,11,0.19,
輿,yú,,none,,,,,1,1,80,80,80,0.19,
轂,gǔ,hub,apparatus,1/1,,,,1,1,11,11,11,0.19,
轍,zhé,,none,,,,,1,1,27,27,27,0.19,
辭,cí,,none,,,,,1,1,34,34,34,0.19,
迎,Yíng,Meeting/welcoming,apparatus,1/1,,,,1,1,14,14,14,0.19,
通,tōng,penetrating/connected,apparatus,1/1,,,,1,1,15,15,15,0.19,
遇,yù,,none,,,,,1,1,50,50,50,0.19,
達,dá,,none,,,,,1,1,10,10,10,0.19,
還,huán,return/cycle back,apparatus,1/1,,,,1,1,30,30,30,0.19,
郊,jiāo,,none,,,,,1,1,46,46,46,0.19,
鄙,bǐ,rustic/uncouth,apparatus,1/1,,,,1,1,20,20,20,0.19,
鄰,lín,,none,,,,,1,1,15,15,15,0.19,
配,pèi,,none,,,,,1,1,68,68,68,0.19,
釋,shì,melt/thaw,apparatus,1/1,,,,1,1,15,15,15,0.19,
里,lǐ,,none,,,,,1,1,64,64,64,0.19,
金,Jīn,Gold,apparatus,1/1,,,,1,1,9,9,9,0.19,
鎮,zhèn,,none,,,,,1,1,37,37,37,0.19,
鑿,Záo,Chiseling/cutting,apparatus,1/1,,,,1,1,11,11,11,0.19,
閱,yuè,inspect/review,apparatus,1/1,,,,1,1,21,21,21,0.19,
闔,hé,closing,apparatus,1/1,,,,1,1,10,10,10,0.19,
闚,kuī,,none,,,,,1,1,47,47,47,0.19,
關,guān,,none,,,,,1,1,27,27,27,0.19,
阿,ē,flattery/yeah,apparatus,1/1,,,,1,1,20,20,20,0.19,
降,jiàng,,none,,,,,1,1,32,32,32,0.19,
陰,yīn,,none,,,,,1,1,42,42,42,0.19,
陳,chén,,none,,,,,1,1,80,80,80,0.19,
陸,Lù,,none,,,,,1,1,50,50,50,0.19,
陽,yáng,,none,,,,,1,1,42,42,42,0.19,
隅,yú,,none,,,,,1,1,41,41,41,0.19,
隣,Lín,,none,,,,,1,1,80,80,80,0.19,
隱,yǐn,,none,,,,,1,1,41,41,41,0.19,
隳,huī,fall/are destroyed,apparatus,1/1,,,,1,1,29,29,29,0.19,
雄,xióng,male/active,apparatus,1/1,,,,1,1,28,28,28,0.19,
雞,jī,,none,,,,,1,1,80,80,80,0.19,
雨,yǔ,,none,,,,,1,1,23,23,23,0.19,
露,lù,,none,,,,,1,1,32,32,32,0.19,
順,shùn,,none,,,,,1,1,65,65,65,0.19,
頑,wán,am stubborn,apparatus,1/1,,,,1,1,20,20,20,0.19,
風,fēng,,none,,,,,1,1,23,23,23,0.19,
飂,Liào,Blown by the wind,apparatus,1/1,,,,1,1,20,20,20,0.19,
飄,piāo,,none,,,,,1,1,23,23,23,0.19,
飲,yǐn,,none,,,,,1,1,53,53,53,0.19,
餌,er,,none,,,,,1,1,35,35,35,0.19,
駟,sì,,none,,,,,1,1,62,62,62,0.19,
驟,Zhòu,,none,,,,,1,1,23,23,23,0.19,
魄,pò,soul,apparatus,1/1,,,,1,1,10,10,10,0.19,
魚,Yú,,none,,,,,1,1,36,36,36,0.19,
鮮,xiān,,none,,,,,1,1,60,60,60,0.19,
鳥,niǎo,,none,,,,,1,1,55,55,55,0.19,
黑,hēi,black/dark,apparatus,1/1,,,,1,1,28,28,28,0.19,
