component,pinyin,gloss,role,gloss_status,builds_characters,characters
亾,,,phonetic,"no gloss needed: present for sound, not meaning",2,"喪,長"
仌,bīng,ice,semantic,glossed,2,"冬,冰"
入,rù,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"六,白"
其,qí,,phonetic,the apparatus glosses this character several ways and none won a majority,2,"基,斯"
兹,,,phonetic,"no gloss needed: present for sound, not meaning",2,"慈,滋"
内,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"央,訥"
几,jī,"a low table, a stool",semantic,glossed,2,"且,處"
凡,,,phonetic,"no gloss needed: present for sound, not meaning",2,"汎,風"
出,chū,emerge,phonetic,glossed,2,"屈,拙"
分,,,phonetic,"no gloss needed: present for sound, not meaning",2,"紛,貧"
半,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"泮,谷"
卜,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"用,貞"
卪,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"卻,色"
厂,hǎn,"a cliff, an overhang",semantic,glossed,2,"厚,厭"
厶,sī,enclosing for oneself — the private,semantic,glossed,2,"公,鬼"
古,gǔ,ancient,semantic,glossed,2,"居,民"
召,zhào,,phonetic,"no gloss needed: present for sound, not meaning",2,"昭,超"
可,kě,,phonetic,the apparatus glosses this character several ways and none won a majority,2,"何,阿"
吉,Jí,,phonetic,"no gloss needed: present for sound, not meaning",2,"結,詰"
含,Hán,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"甘,音"
咼,,,phonetic,"no gloss needed: present for sound, not meaning",2,"禍,過"
啻,,,phonetic,"no gloss needed: present for sound, not meaning",2,"敵,謫"
單,,,phonetic,"no gloss needed: present for sound, not meaning",2,"戰,繟"
埶,,,phonetic,"no gloss needed: present for sound, not meaning",2,"勢,熱"
士,shì,scholars/officers,semantic,glossed,2,"吉,壯"
夂,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"冬,處"
复,,,phonetic,"no gloss needed: present for sound, not meaning",2,"復,腹"
夕,xī,evening — the moon half shown,semantic,glossed,2,"名,多"
奇,jī,,phonetic,"no gloss needed: present for sound, not meaning",2,"倚,寄"
奚,,,phonetic,"no gloss needed: present for sound, not meaning",2,"谿,雞"
尾,wěi,a tail,semantic,glossed,2,"屈,屬"
屮,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"木,毒"
巳,sì,a curled form — the sixth earthly branch,phonetic,glossed,2,"祀,起"
巾,jīn,a cloth,semantic,glossed,2,"帶,常"
幸,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"執,報"
攸,,,phonetic,"no gloss needed: present for sound, not meaning",2,"修,悠"
敫,,,phonetic,"no gloss needed: present for sound, not meaning",2,"徼,皦"
月,yuè,the moon,semantic,glossed,2,"明,有"
未,wèi,,phonetic,the apparatus glosses this character several ways and none won a majority,2,"味,昧"
此,Cǐ,this,phonetic,glossed,2,"疵,雌"
殳,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"投,殺"
無,Wú,absence,phonetic,glossed,2,"無,蕪"
熒,,,phonetic,"no gloss needed: present for sound, not meaning",2,"榮,營"
爿,,,phonetic,"no gloss needed: present for sound, not meaning",2,"壯,狀"
玉,yù,jade,semantic,glossed,2,"瑕,璧"
用,yòng,use,semantic,glossed,2,"周,甫"
甫,fǔ,origin/father,phonetic,glossed,2,"補,輔"
甬,,,phonetic,"no gloss needed: present for sound, not meaning",2,"勇,通"
田,tián,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"當,里"
甲,jiǎ,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"早,甲"
申,,,phonetic,"no gloss needed: present for sound, not meaning",2,"神,陳"
疒,nè,a person on a sickbed — illness,semantic,glossed,2,"疵,病"
白,bái,white/light,phonetic,glossed,2,"伯,魄"
皮,,,phonetic,"no gloss needed: present for sound, not meaning",2,"彼,被"
石,shí,,phonetic,"no gloss needed: present for sound, not meaning",2,"斫,橐"
禺,,,phonetic,"no gloss needed: present for sound, not meaning",2,"遇,隅"
立,lì,,semantic,the apparatus glosses this character several ways and none won a majority,2,"立,竭"
米,mǐ,grains of rice,semantic,glossed,2,"氣,精"
系,xì,"to tie, to connect",semantic,glossed,2,"孫,綿"
网,wǎng,a net,semantic,glossed,2,"罪,置"
羊,yáng,a sheep,phonetic,glossed,2,"祥,養"
老,lǎo,age/decay,semantic,glossed,2,"壽,孝"
舁,yú,four hands lifting together,semantic,glossed,2,"與,興"
舟,zhōu,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"前,服"
豆,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"豈,豐"
貫,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"實,患"
走,zǒu,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"起,超"
足,zú,,semantic,the apparatus glosses this character several ways and none won a majority,2,"跨,蹶"
金,Jīn,Gold,semantic,glossed,2,"銳,鑿"
門,mén,,phonetic,the apparatus glosses this character several ways and none won a majority,2,"悶,聞"
青,qīng,"blue-green, the colour of growing things",phonetic,glossed,2,"清,精"
頁,yè,a head,semantic,glossed,2,"順,頑"
風,fēng,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"飂,飄"
龍,,,phonetic,"no gloss needed: present for sound, not meaning",2,"寵,聾"
𠂤,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"官,師"
𠤎,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"化,真"
𠫓,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"棄,育"
𠬪,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"受,爭"
𢦔,,,phonetic,"no gloss needed: present for sound, not meaning",2,"哉,載"
𣪊,,,phonetic,"no gloss needed: present for sound, not meaning",2,"穀,轂"
𤔔,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"亂,辭"
𦎫,,,phonetic,"no gloss needed: present for sound, not meaning",2,"敦,淳"
𪞶,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"皆,者"
㐭,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,嗇
㒸,,,phonetic,"no gloss needed: present for sound, not meaning",1,遂
㒼,,,phonetic,"no gloss needed: present for sound, not meaning",1,滿
㓞,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,契
㝵,,,phonetic,"no gloss needed: present for sound, not meaning",1,得
㠩,,,phonetic,"no gloss needed: present for sound, not meaning",1,荒
㠯,,,phonetic,"no gloss needed: present for sound, not meaning",1,能
㡀,,,phonetic,"no gloss needed: present for sound, not meaning",1,敝
㡀,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,敝
㤅,,,phonetic,"no gloss needed: present for sound, not meaning",1,愛
㥁,,,phonetic,"no gloss needed: present for sound, not meaning",1,德
㥯,,,phonetic,"no gloss needed: present for sound, not meaning",1,隱
㫃,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,施
㯻,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,橐
㳄,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,盜
㶾,,,phonetic,"no gloss needed: present for sound, not meaning",1,飄
㸚,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,爽
䇂,,,phonetic,"no gloss needed: present for sound, not meaning",1,言
䝿,,,phonetic,"no gloss needed: present for sound, not meaning",1,遺
丄,shàng,above (the old form of 上),semantic,glossed,1,帝
不,bù,,semantic,the apparatus glosses this character several ways and none won a majority,1,金
与,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,與
丘,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,虛
丙,,,phonetic,"no gloss needed: present for sound, not meaning",1,病
中,zhōng,,phonetic,"no gloss needed: present for sound, not meaning",1,忠
丮,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,執
丯,,,phonetic,"no gloss needed: present for sound, not meaning",1,害
丰,,,phonetic,"no gloss needed: present for sound, not meaning",1,邦
丶,zhǔ,"a mark, a point",phonetic,glossed,1,主
丶,zhǔ,"a mark, a point",semantic,glossed,1,主
主,zhǔ,,phonetic,the apparatus glosses this character several ways and none won a majority,1,注
丿,piě,a stroke slanting left,phonetic,glossed,1,少
丿,piě,a stroke slanting left,semantic,glossed,1,弗
乀,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,弗
乃,nǎi,leads to,phonetic,glossed,1,扔
乇,,,phonetic,"no gloss needed: present for sound, not meaning",1,託
乍,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,作
乑,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,眾
予,,,phonetic,"no gloss needed: present for sound, not meaning",1,豫
二,èr,,phonetic,"no gloss needed: present for sound, not meaning",1,次
亍,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,行
于,,,phonetic,"no gloss needed: present for sound, not meaning",1,夸
亏,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,平
云,yún,,phonetic,"no gloss needed: present for sound, not meaning",1,芸
五,Wǔ,Five,phonetic,glossed,1,吾
亞,,,phonetic,"no gloss needed: present for sound, not meaning",1,惡
亟,,,phonetic,"no gloss needed: present for sound, not meaning",1,極
